dateObserved,temperature,relativeHumidity
2025-03-27T14:47Z,25.881208,36.357136
2025-03-27T14:57Z,25.89723,36.343784
2025-03-27T15:07Z,25.913252,36.31899
2025-03-27T15:17Z,25.918592,36.256046
2025-03-27T15:27Z,25.921263,36.265583
2025-03-27T15:37Z,25.926603,36.2179
2025-03-27T15:47Z,25.947968,36.15877
2025-03-27T15:57Z,25.96399,36.111084
2025-03-27T16:07Z,25.937284,36.04814
2025-03-27T16:17Z,25.918592,35.968033
2025-03-27T16:27Z,25.913252,35.939423
2025-03-27T16:37Z,25.918592,35.834515
2025-03-27T16:57Z,25.886549,35.79446
2025-03-27T17:07Z,25.878538,35.7525
2025-03-27T17:17Z,25.878538,35.77348
2025-03-27T17:37Z,25.846495,35.69528
2025-03-27T17:47Z,25.857176,35.697186
2025-03-27T17:57Z,25.827803,35.71626
2025-03-27T18:07Z,25.838484,35.670483
2025-03-27T18:27Z,25.827803,35.632336
2025-03-27T18:37Z,25.827803,35.666668
2025-03-27T18:47Z,25.830473,35.601814
2025-03-27T18:57Z,25.809109,35.599907
2025-03-27T19:07Z,25.846495,35.599907
2025-03-27T20:07Z,25.817122,35.655224
2025-03-27T20:27Z,25.814451,35.746777
2025-03-27T20:37Z,25.851835,35.73724
2025-03-27T20:47Z,25.851835,35.803997
2025-03-27T20:57Z,25.867857,35.80972
2025-03-27T21:07Z,25.867857,35.76585
2025-03-27T21:17Z,25.865187,35.824978
2025-03-27T21:27Z,25.865187,35.81544
2025-03-27T21:57Z,25.774395,34.50698
2025-03-27T22:07Z,25.73434,34.90944
2025-03-27T22:17Z,25.680933,35.151676
2025-03-27T22:47Z,25.600824,35.40345
2025-03-27T23:07Z,25.544746,35.351948
2025-03-27T23:17Z,25.528725,35.317616
2025-03-27T23:27Z,25.496681,35.247044
2025-03-27T23:37Z,25.459297,35.21271
2025-03-27T23:47Z,25.41924,35.144047
2025-03-28T00:07Z,25.333792,34.957123
2025-03-28T00:17Z,25.296406,34.87129
2025-03-28T00:27Z,25.232319,34.81216
2025-03-28T00:37Z,25.17624,34.76829
2025-03-28T00:47Z,25.144197,34.77783
2025-03-28T00:57Z,25.112154,34.7969
2025-03-28T01:07Z,25.07477,34.81216
2025-03-28T01:17Z,25.032043,34.821697
2025-03-28T01:27Z,25.00267,34.794994
2025-03-28T01:37Z,24.970627,34.823605
2025-03-28T01:47Z,24.93324,34.83505
2025-03-28T01:57Z,24.890516,34.781643
2025-03-28T02:07Z,24.890516,34.814068
2025-03-28T02:17Z,24.845121,34.655758
2025-03-28T02:27Z,24.82376,34.722515
2025-03-28T02:37Z,24.76501,34.85603
2025-03-28T02:47Z,24.732967,34.924698
2025-03-28T02:57Z,24.700924,34.911346
2025-03-28T03:07Z,24.655527,34.94377
2025-03-28T03:17Z,24.655527,35.006714
2025-03-28T03:27Z,24.607462,34.964752
2025-03-28T03:37Z,24.575418,35.014343
2025-03-28T03:47Z,24.559395,35.03914
2025-03-28T03:57Z,24.556725,35.08873
2025-03-28T04:07Z,24.524681,35.09636
2025-03-28T04:17Z,24.497978,35.092545
2025-03-28T04:27Z,24.449913,35.17838
2025-03-28T04:37Z,24.417868,35.17838
2025-03-28T04:47Z,24.399176,35.193638
2025-03-28T04:57Z,24.383154,35.197453
2025-03-28T05:07Z,24.329748,35.26993
2025-03-28T05:17Z,24.329748,35.325245
2025-03-28T05:27Z,24.27634,35.46067
2025-03-28T05:37Z,24.26833,35.762035
2025-03-28T05:47Z,24.321737,36.265583
2025-03-28T05:57Z,24.396505,35.16312
2025-03-28T06:07Z,24.417868,35.239414
2025-03-28T06:17Z,24.449913,35.880295
2025-03-28T06:27Z,24.447243,36.19692
2025-03-28T06:37Z,24.59678,36.164494
2025-03-28T06:47Z,24.68223,36.206455
2025-03-28T06:57Z,24.76234,36.206455
2025-03-28T07:07Z,24.842451,36.111084
2025-03-28T07:17Z,24.887846,35.95468
2025-03-28T07:37Z,24.99466,35.96422
2025-03-28T07:47Z,25.026703,35.989014
2025-03-28T07:57Z,25.112154,35.523613
2025-03-28T08:07Z,25.130846,35.65904
2025-03-28T08:17Z,25.16823,35.7792
2025-03-28T08:27Z,25.205616,35.800182
2025-03-28T08:37Z,25.259022,35.803997
2025-03-28T08:47Z,25.259022,35.800182
2025-03-28T08:57Z,25.331121,35.74487
2025-03-28T09:07Z,25.368505,35.704815
2025-03-28T09:17Z,25.40589,35.699093
2025-03-28T09:27Z,25.41657,35.645687
2025-03-28T09:37Z,25.427252,35.653316
2025-03-28T09:47Z,25.40856,35.6495
2025-03-28T09:57Z,25.40856,35.544594
2025-03-28T10:07Z,25.435263,35.59037
2025-03-28T10:17Z,25.41924,35.60563
2025-03-28T10:37Z,25.459297,35.620888
2025-03-28T10:57Z,25.49134,35.57511
2025-03-28T11:07Z,25.507362,35.544594
2025-03-28T11:17Z,25.523384,35.521706
2025-03-28T11:27Z,25.520714,35.52552
2025-03-28T11:37Z,25.531395,35.48356
2025-03-28T11:47Z,25.542076,35.477837
2025-03-28T11:57Z,25.547417,35.462578
2025-03-28T12:07Z,25.56878,35.466393
2025-03-28T12:17Z,25.502022,35.542686
2025-03-28T12:27Z,25.550087,35.479744
2025-03-28T12:37Z,25.560768,35.456856
2025-03-28T12:57Z,25.582132,35.44541
2025-03-28T13:07Z,25.638208,35.367207
2025-03-28T13:17Z,25.643549,35.268024
2025-03-28T13:27Z,25.675592,35.25658
2025-03-28T13:37Z,25.670252,35.231785
2025-03-28T13:47Z,25.664911,35.24132
2025-03-28T13:57Z,25.662241,35.203175
2025-03-28T14:07Z,25.662241,35.20699
2025-03-28T14:17Z,25.662241,35.20699
2025-03-28T14:27Z,25.683603,35.159306
2025-03-28T14:37Z,25.667582,35.20699
2025-03-28T14:47Z,25.680933,35.174564
2025-03-28T14:57Z,25.670252,35.20699
2025-03-28T15:07Z,25.65957,35.22034
2025-03-28T15:27Z,25.664911,35.174564
2025-03-28T15:37Z,25.678263,35.222248
2025-03-28T15:57Z,25.64622,35.1841
2025-03-28T16:07Z,25.64622,35.24132
2025-03-28T16:17Z,25.6569,35.304264
2025-03-28T16:27Z,25.670252,35.3901
2025-03-28T16:37Z,25.686274,35.401543
2025-03-28T16:47Z,25.680933,35.466393
2025-03-28T16:57Z,25.702297,35.53887
2025-03-28T17:07Z,25.702297,35.495003
2025-03-28T17:17Z,25.672922,35.491188
2025-03-28T17:27Z,25.667582,35.550316
2025-03-28T17:37Z,25.662241,35.607536
2025-03-28T17:57Z,25.678263,35.65713
2025-03-28T18:17Z,25.65423,35.75059
2025-03-28T18:27Z,25.65423,35.74487
2025-03-28T18:37Z,25.64889,35.769665
2025-03-28T18:47Z,25.643549,35.805904
2025-03-28T18:57Z,25.635538,35.80781
2025-03-28T19:07Z,25.6569,35.836422
2025-03-28T19:17Z,25.64622,35.76585
2025-03-28T19:27Z,25.688946,35.80781
2025-03-28T19:37Z,25.672922,35.79446
2025-03-28T19:47Z,25.707638,35.83833
2025-03-28T19:57Z,25.712978,35.842144
2025-03-28T20:07Z,25.675592,35.847866
2025-03-28T20:17Z,25.686274,35.878387
2025-03-28T20:27Z,25.702297,35.85168
2025-03-28T20:37Z,25.710308,35.89937
2025-03-28T20:47Z,25.710308,35.89937
2025-03-28T20:57Z,25.72633,35.85168
2025-03-28T21:17Z,25.737011,35.868847
2025-03-28T21:27Z,25.65957,34.022507
2025-03-28T21:37Z,25.606165,34.63287
2025-03-28T21:47Z,25.526054,35.11734
2025-03-28T21:57Z,25.48867,35.3138
2025-03-28T22:07Z,25.472649,35.46067
2025-03-28T22:17Z,25.443275,35.51789
2025-03-28T22:27Z,25.437935,35.573204
2025-03-28T22:37Z,25.432592,35.632336
2025-03-28T22:47Z,25.41657,35.645687
2025-03-28T22:57Z,25.40589,35.622795
2025-03-28T23:07Z,25.40856,35.668575
2025-03-28T23:27Z,25.360495,35.647594
2025-03-28T23:37Z,25.31777,35.641872
2025-03-28T23:47Z,25.31777,35.61326
2025-03-28T23:57Z,25.267033,35.59037
2025-03-29T00:07Z,25.261692,35.578926
2025-03-29T00:17Z,25.218967,35.594185
2025-03-29T00:27Z,25.186922,35.559853
2025-03-29T00:37Z,25.16022,35.626614
2025-03-29T00:47Z,25.114824,35.599907
2025-03-29T00:57Z,25.088121,35.607536
2025-03-29T01:07Z,25.040054,35.6495
2025-03-29T01:17Z,25.029373,35.63043
2025-03-29T01:27Z,24.986649,35.639965
2025-03-29T01:37Z,24.946594,35.287098
2025-03-29T01:47Z,24.871824,35.319523
2025-03-29T02:07Z,24.770351,35.55413
2025-03-29T02:17Z,24.743649,35.609444
2025-03-29T02:27Z,24.719616,35.653316
2025-03-29T02:37Z,24.714275,35.674297
2025-03-29T02:47Z,24.650187,35.653316
